File accession	File format	File type	File format type	Output type	File assembly	Experiment accession	Assay	Donor(s)	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate(s)	Read length	Mapped read length	Run type	Paired end	Paired with	Index of	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Genome annotation	Platform	Controlled by	File Status	s3_uri	File analysis title	File analysis status	Audit WARNING	Audit NOT_COMPLIANT	Audit ERROR
ENCFF410WXS	bed narrowPeak	bed	narrowPeak	peaks and background as input for IDR	mm10	ENCSR531HWD	TF ChIP-seq	/mouse-donors/ENCDO015AAA/	EFO:0007075	ES-E14	cell line	Mus musculus										CHD2-mouse	DNA						2014-12-08	ENCODE				1, 2	1_1, 2_1							/files/ENCFF074LDJ/, /files/ENCFF966YUS/, /files/ENCFF044NRI/, /files/ENCFF941EUJ/	5788410	ENCODE Processing Pipeline	cd6e3581864828e9718be4f26c9d5a14		https://www.encodeproject.org/files/ENCFF410WXS/@@download/ENCFF410WXS.bed.gz				released	s3://encode-public/2016/11/15/ecf70900-672e-444f-9590-229865d0275f/ENCFF410WXS.bed.gz	ENCODE3 mm10	archived	mild to moderate bottlenecking, low read depth, inconsistent platforms, low read length		
ENCFF466DTV	bed narrowPeak	bed	narrowPeak	conservative IDR thresholded peaks	mm10	ENCSR531HWD	TF ChIP-seq	/mouse-donors/ENCDO015AAA/	EFO:0007075	ES-E14	cell line	Mus musculus										CHD2-mouse	DNA						2014-12-08	ENCODE				1, 2	1_1, 2_1							/files/ENCFF098AAD/, /files/ENCFF192FJH/, /files/ENCFF547MET/, /files/ENCFF410WXS/	140905	ENCODE Processing Pipeline	2509eb64b9ee185dd7a4a2b6ce950644		https://www.encodeproject.org/files/ENCFF466DTV/@@download/ENCFF466DTV.bed.gz				released	s3://encode-public/2016/11/15/e132a1ed-ecdc-47f8-8a8e-380c25743121/ENCFF466DTV.bed.gz	ENCODE3 mm10	archived	mild to moderate bottlenecking, low read depth, inconsistent platforms, low read length		
ENCFF373CDN	bed narrowPeak	bed	narrowPeak	optimal IDR thresholded peaks	mm10	ENCSR531HWD	TF ChIP-seq	/mouse-donors/ENCDO015AAA/	EFO:0007075	ES-E14	cell line	Mus musculus										CHD2-mouse	DNA						2014-12-08	ENCODE				1, 2	1_1, 2_1							/files/ENCFF098AAD/, /files/ENCFF192FJH/, /files/ENCFF547MET/, /files/ENCFF410WXS/	154253	ENCODE Processing Pipeline	699e3b424c443869f1f5158abbc4f39d		https://www.encodeproject.org/files/ENCFF373CDN/@@download/ENCFF373CDN.bed.gz				released	s3://encode-public/2016/11/15/4f0b929d-dcba-43c6-beee-18514aab30ad/ENCFF373CDN.bed.gz	ENCODE3 mm10	archived	mild to moderate bottlenecking, low read depth, inconsistent platforms, low read length		
ENCFF899QHZ	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	mm10	ENCSR531HWD	TF ChIP-seq	/mouse-donors/ENCDO015AAA/	EFO:0007075	ES-E14	cell line	Mus musculus										CHD2-mouse	DNA						2014-12-08	ENCODE				2	2_1							/files/ENCFF740TUE/, /files/ENCFF547MET/, /files/ENCFF239ELB/, /files/ENCFF224HWC/	96486	ENCODE Processing Pipeline	29c44fea5999c6c3328675cfbccaef81		https://www.encodeproject.org/files/ENCFF899QHZ/@@download/ENCFF899QHZ.bed.gz				released	s3://encode-public/2020/11/24/8e6f1d40-7277-44d9-857d-94057cc34eb7/ENCFF899QHZ.bed.gz	ENCODE4 v1.6.1 mm10	released	mild to moderate bottlenecking, low read depth, inconsistent platforms, low read length		
ENCFF412JAO	bed narrowPeak	bed	narrowPeak	conservative IDR thresholded peaks	mm10	ENCSR531HWD	TF ChIP-seq	/mouse-donors/ENCDO015AAA/	EFO:0007075	ES-E14	cell line	Mus musculus										CHD2-mouse	DNA						2014-12-08	ENCODE				1, 2	1_1, 2_1							/files/ENCFF547MET/, /files/ENCFF239ELB/, /files/ENCFF243UOV/, /files/ENCFF740TUE/, /files/ENCFF224HWC/	145070	ENCODE Processing Pipeline	b6658e8aa9b8ad3e243a767deb1efba4		https://www.encodeproject.org/files/ENCFF412JAO/@@download/ENCFF412JAO.bed.gz				released	s3://encode-public/2020/11/24/4e73b7b8-fd86-491f-a338-800bffd4fb66/ENCFF412JAO.bed.gz	ENCODE4 v1.6.1 mm10	released	mild to moderate bottlenecking, low read depth, inconsistent platforms, low read length		
ENCFF118JBT	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	mm10	ENCSR531HWD	TF ChIP-seq	/mouse-donors/ENCDO015AAA/	EFO:0007075	ES-E14	cell line	Mus musculus										CHD2-mouse	DNA						2014-12-08	ENCODE				1	1_1							/files/ENCFF740TUE/, /files/ENCFF547MET/, /files/ENCFF243UOV/, /files/ENCFF224HWC/	96117	ENCODE Processing Pipeline	54182deaa09bab8b172540cc3a77e7d8		https://www.encodeproject.org/files/ENCFF118JBT/@@download/ENCFF118JBT.bed.gz				released	s3://encode-public/2020/11/24/82a426b0-e8c6-44d8-9a7a-1ab9577d8660/ENCFF118JBT.bed.gz	ENCODE4 v1.6.1 mm10	released	mild to moderate bottlenecking, low read depth, inconsistent platforms, low read length		
ENCFF927JDA	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	mm10	ENCSR531HWD	TF ChIP-seq	/mouse-donors/ENCDO015AAA/	EFO:0007075	ES-E14	cell line	Mus musculus										CHD2-mouse	DNA						2014-12-08	ENCODE				1, 2	1_1, 2_1							/files/ENCFF547MET/, /files/ENCFF239ELB/, /files/ENCFF243UOV/, /files/ENCFF740TUE/, /files/ENCFF224HWC/	162288	ENCODE Processing Pipeline	b8852ea7c51bad2573aad8d2ff7c8927		https://www.encodeproject.org/files/ENCFF927JDA/@@download/ENCFF927JDA.bed.gz				released	s3://encode-public/2020/11/24/62f467e9-ecee-4d4b-a4bd-3744626e0353/ENCFF927JDA.bed.gz	ENCODE4 v1.6.1 mm10	released	mild to moderate bottlenecking, low read depth, inconsistent platforms, low read length		
ENCFF883ROD	bed narrowPeak	bed	narrowPeak	peaks	mm9	ENCSR604XDL	TF ChIP-seq	/mouse-donors/ENCDO015AAA/	EFO:0007075	ES-E14	cell line	Mus musculus										MAFK-mouse	DNA						2014-12-08	ENCODE				1, 2	1_1, 2_1							/files/ENCFF706XAJ/, /files/ENCFF343FQU/	303973	Michael Snyder, Stanford	bf2332cce2ff315c93421cd344cefd10		https://www.encodeproject.org/files/ENCFF883ROD/@@download/ENCFF883ROD.bed.gz				archived	s3://encode-public/2014/12/02/f3491106-e201-4c7d-89ed-3c5c1b3c3490/ENCFF883ROD.narrowPeak.gz	Lab custom mm9	archived	mild to moderate bottlenecking, low read depth, inconsistent platforms, low read length	insufficient read depth	
ENCFF254FAR	bed narrowPeak	bed	narrowPeak	peaks and background as input for IDR	mm10	ENCSR604XDL	TF ChIP-seq	/mouse-donors/ENCDO015AAA/	EFO:0007075	ES-E14	cell line	Mus musculus										MAFK-mouse	DNA						2014-12-08	ENCODE				1	1_1							/files/ENCFF641TEA/, /files/ENCFF966YUS/, /files/ENCFF074LDJ/	4151737	ENCODE Processing Pipeline	2b9c8907081360ba85e0cd40ad4114e9		https://www.encodeproject.org/files/ENCFF254FAR/@@download/ENCFF254FAR.bed.gz				released	s3://encode-public/2016/11/15/68dab89e-e0a1-4f04-9271-930bf03f9a14/ENCFF254FAR.bed.gz	ENCODE3 mm10	archived	mild to moderate bottlenecking, low read depth, inconsistent platforms, low read length	insufficient read depth	
ENCFF331PWC	bed narrowPeak	bed	narrowPeak	peaks and background as input for IDR	mm10	ENCSR604XDL	TF ChIP-seq	/mouse-donors/ENCDO015AAA/	EFO:0007075	ES-E14	cell line	Mus musculus										MAFK-mouse	DNA						2014-12-08	ENCODE				1, 2	1_1, 2_1							/files/ENCFF641TEA/, /files/ENCFF966YUS/, /files/ENCFF074LDJ/, /files/ENCFF385EDC/	5372758	ENCODE Processing Pipeline	acbffc25cc49548fe4ae2b6807d926e7		https://www.encodeproject.org/files/ENCFF331PWC/@@download/ENCFF331PWC.bed.gz				released	s3://encode-public/2016/11/15/33f6a385-dc7e-4c72-947f-7fcb16401fd6/ENCFF331PWC.bed.gz	ENCODE3 mm10	archived	mild to moderate bottlenecking, low read depth, inconsistent platforms, low read length	insufficient read depth	
ENCFF111KNX	bed narrowPeak	bed	narrowPeak	peaks and background as input for IDR	mm10	ENCSR604XDL	TF ChIP-seq	/mouse-donors/ENCDO015AAA/	EFO:0007075	ES-E14	cell line	Mus musculus										MAFK-mouse	DNA						2014-12-08	ENCODE				2	2_1							/files/ENCFF966YUS/, /files/ENCFF074LDJ/, /files/ENCFF385EDC/	4739103	ENCODE Processing Pipeline	011082173a92dd666ad3de63ccc36ea7		https://www.encodeproject.org/files/ENCFF111KNX/@@download/ENCFF111KNX.bed.gz				released	s3://encode-public/2016/11/15/b20970a4-981e-4df9-92f4-e3fe6d817e9b/ENCFF111KNX.bed.gz	ENCODE3 mm10	archived	mild to moderate bottlenecking, low read depth, inconsistent platforms, low read length	insufficient read depth	
ENCFF535CTU	bed narrowPeak	bed	narrowPeak	conservative IDR thresholded peaks	mm10	ENCSR604XDL	TF ChIP-seq	/mouse-donors/ENCDO015AAA/	EFO:0007075	ES-E14	cell line	Mus musculus										MAFK-mouse	DNA						2014-12-08	ENCODE				1, 2	1_1, 2_1							/files/ENCFF547MET/, /files/ENCFF254FAR/, /files/ENCFF331PWC/, /files/ENCFF111KNX/	288084	ENCODE Processing Pipeline	afbb965427503fe7e18556478c22792d		https://www.encodeproject.org/files/ENCFF535CTU/@@download/ENCFF535CTU.bed.gz				released	s3://encode-public/2016/11/15/59672160-6e29-44ee-aabf-9a5ec9978b05/ENCFF535CTU.bed.gz	ENCODE3 mm10	archived	mild to moderate bottlenecking, low read depth, inconsistent platforms, low read length	insufficient read depth	
ENCFF599GJE	bed narrowPeak	bed	narrowPeak	optimal IDR thresholded peaks	mm10	ENCSR604XDL	TF ChIP-seq	/mouse-donors/ENCDO015AAA/	EFO:0007075	ES-E14	cell line	Mus musculus										MAFK-mouse	DNA						2014-12-08	ENCODE				1, 2	1_1, 2_1							/files/ENCFF547MET/, /files/ENCFF254FAR/, /files/ENCFF331PWC/, /files/ENCFF111KNX/	300989	ENCODE Processing Pipeline	475b6cd9a23895688adf1c714694bf7b		https://www.encodeproject.org/files/ENCFF599GJE/@@download/ENCFF599GJE.bed.gz				released	s3://encode-public/2016/11/15/ab438056-2001-4bbf-ba03-a4c0af0b5f92/ENCFF599GJE.bed.gz	ENCODE3 mm10	archived	mild to moderate bottlenecking, low read depth, inconsistent platforms, low read length	insufficient read depth	
ENCFF496JHC	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	mm10	ENCSR604XDL	TF ChIP-seq	/mouse-donors/ENCDO015AAA/	EFO:0007075	ES-E14	cell line	Mus musculus										MAFK-mouse	DNA						2014-12-08	ENCODE				1, 2	1_1, 2_1							/files/ENCFF547MET/, /files/ENCFF891XZD/, /files/ENCFF224HWC/, /files/ENCFF740TUE/, /files/ENCFF761KZA/	305374	ENCODE Processing Pipeline	ec55ae545251537538a7139f0b233796		https://www.encodeproject.org/files/ENCFF496JHC/@@download/ENCFF496JHC.bed.gz				released	s3://encode-public/2020/11/24/cc4ea7a6-9ee9-4baa-bcc7-e5e4841f5659/ENCFF496JHC.bed.gz	ENCODE4 v1.6.1 mm10	released	mild to moderate bottlenecking, low read depth, inconsistent platforms, low read length	insufficient read depth	
ENCFF467JZV	bed narrowPeak	bed	narrowPeak	conservative IDR thresholded peaks	mm10	ENCSR604XDL	TF ChIP-seq	/mouse-donors/ENCDO015AAA/	EFO:0007075	ES-E14	cell line	Mus musculus										MAFK-mouse	DNA						2014-12-08	ENCODE				1, 2	1_1, 2_1							/files/ENCFF547MET/, /files/ENCFF891XZD/, /files/ENCFF224HWC/, /files/ENCFF740TUE/, /files/ENCFF761KZA/	297732	ENCODE Processing Pipeline	92b9f2de543c00393cb616beba8cf62c		https://www.encodeproject.org/files/ENCFF467JZV/@@download/ENCFF467JZV.bed.gz				released	s3://encode-public/2020/11/24/51fad341-f602-42e2-851f-4547cf1d5e5f/ENCFF467JZV.bed.gz	ENCODE4 v1.6.1 mm10	released	mild to moderate bottlenecking, low read depth, inconsistent platforms, low read length	insufficient read depth	
ENCFF098AFN	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	mm10	ENCSR604XDL	TF ChIP-seq	/mouse-donors/ENCDO015AAA/	EFO:0007075	ES-E14	cell line	Mus musculus										MAFK-mouse	DNA						2014-12-08	ENCODE				1	1_1							/files/ENCFF224HWC/, /files/ENCFF740TUE/, /files/ENCFF547MET/, /files/ENCFF891XZD/	137628	ENCODE Processing Pipeline	6e88387715e06e324ab0a0002089c873		https://www.encodeproject.org/files/ENCFF098AFN/@@download/ENCFF098AFN.bed.gz				released	s3://encode-public/2020/11/24/eb1cdbb5-2bc6-4e1a-9ff2-9835f5a9329b/ENCFF098AFN.bed.gz	ENCODE4 v1.6.1 mm10	released	mild to moderate bottlenecking, low read depth, inconsistent platforms, low read length	insufficient read depth	
ENCFF468HPL	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	mm10	ENCSR604XDL	TF ChIP-seq	/mouse-donors/ENCDO015AAA/	EFO:0007075	ES-E14	cell line	Mus musculus										MAFK-mouse	DNA						2014-12-08	ENCODE				2	2_1							/files/ENCFF740TUE/, /files/ENCFF547MET/, /files/ENCFF224HWC/, /files/ENCFF761KZA/	170955	ENCODE Processing Pipeline	8325f0c5924d8cc56a74b9f1ecd84d81		https://www.encodeproject.org/files/ENCFF468HPL/@@download/ENCFF468HPL.bed.gz				released	s3://encode-public/2020/11/24/abe112cd-92c1-4d48-b2d7-511fd966b226/ENCFF468HPL.bed.gz	ENCODE4 v1.6.1 mm10	released	mild to moderate bottlenecking, low read depth, inconsistent platforms, low read length	insufficient read depth	
